Tour;Date (heure de Paris);Match fictif;Match reel NBA emprunte;Equipe;Joueur
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;Boston Celtics;Jaylen Brown
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;Boston Celtics;Derrick White
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;Boston Celtics;Anfernee Simons
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;Boston Celtics;Josh Minott
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;Boston Celtics;Payton Pritchard
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;Boston Celtics;Neemias Queta
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;Boston Celtics;Jordan Walsh
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;Boston Celtics;Sam Hauser
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;Boston Celtics;Hugo Gonzalez
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;Boston Celtics;Baylor Scheierman
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;Boston Celtics;Amari Williams
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;New York Knicks;Mikal Bridges
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;New York Knicks;Karl-Anthony Towns
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;New York Knicks;Josh Hart
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;New York Knicks;Jalen Brunson
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;New York Knicks;Miles McBride
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;New York Knicks;Jordan Clarkson
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;New York Knicks;Tyler Kolek
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;New York Knicks;Guerschon Yabusele
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;New York Knicks;Mitchell Robinson
Quart de finale;20/09/2026 19h;Celtics vs Knicks;08/12/2025 - BOS 123-117 NYK;New York Knicks;Mohamed Diawara
Quart de finale;20/09/2026 21h;Lakers vs Warriors;06/02/2025 - LAL 120-112 GSW;Los Angeles Lakers;LeBron James
